Iteration    Log Likelihood    Accuracy
1          -0.69315        0.500
2          -0.68482        0.860
3          -0.67668        0.858
4          -0.66872        0.858
5          -0.66095        0.863
6          -0.65335        0.863
7          -0.64592        0.865
8          -0.63867        0.865
9          -0.63159        0.870
10          -0.62467        0.870
11          -0.61792        0.870
12          -0.61133        0.870
13          -0.60490        0.868
14          -0.59861        0.868
15          -0.59248        0.870
16          -0.58649        0.873
17          -0.58065        0.873
18          -0.57494        0.873
19          -0.56937        0.875
20          -0.56393        0.875
21          -0.55862        0.875
22          -0.55343        0.875
23          -0.54836        0.875
24          -0.54342        0.875
25          -0.53858        0.875
26          -0.53386        0.875
27          -0.52925        0.875
28          -0.52474        0.875
29          -0.52033        0.875
30          -0.51602        0.875
31          -0.51181        0.875
32          -0.50769        0.875
33          -0.50367        0.875
34          -0.49973        0.875
35          -0.49587        0.875
36          -0.49210        0.875
37          -0.48841        0.875
38          -0.48480        0.875
39          -0.48127        0.873
40          -0.47780        0.873
41          -0.47441        0.873
42          -0.47109        0.873
43          -0.46784        0.873
44          -0.46466        0.873
45          -0.46153        0.873
46          -0.45847        0.873
47          -0.45547        0.873
48          -0.45253        0.873
49          -0.44965        0.873
50          -0.44682        0.873
51          -0.44404        0.873
52          -0.44132        0.873
53          -0.43865        0.873
54          -0.43602        0.873
55          -0.43345        0.873
56          -0.43092        0.873
57          -0.42844        0.873
58          -0.42600        0.873
59          -0.42361        0.873
60          -0.42126        0.873
61          -0.41894        0.873
62          -0.41667        0.873
63          -0.41444        0.873
64          -0.41225        0.873
65          -0.41009        0.873
66          -0.40797        0.873
67          -0.40588        0.873
68          -0.40383        0.873
69          -0.40181        0.877
70          -0.39982        0.877
71          -0.39787        0.877
72          -0.39594        0.877
73          -0.39405        0.877
74          -0.39219        0.877
75          -0.39035        0.877
76          -0.38854        0.877
77          -0.38677        0.880
78          -0.38501        0.880
79          -0.38329        0.880
80          -0.38158        0.880
81          -0.37991        0.880
82          -0.37826        0.880
83          -0.37663        0.880
84          -0.37502        0.880
85          -0.37344        0.880
86          -0.37188        0.880
87          -0.37034        0.880
88          -0.36883        0.880
89          -0.36733        0.880
90          -0.36586        0.880
91          -0.36440        0.880
92          -0.36296        0.880
93          -0.36155        0.880
94          -0.36015        0.880
95          -0.35877        0.880
96          -0.35741        0.880
97          -0.35606        0.880
98          -0.35474        0.880
99          -0.35343        0.880
100         -0.35213        0.880
